publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,2,4,0,1,4,5.85166797146427
1,2,4,0,1,5,5.85166797146427
1,2,4,0,1,6,5.85166797146427
1,2,4,0,1,7,5.85166797146427
1,2,4,0,1,8,5.85166797146427
1,2,4,0,1,9,5.85166797146427
1,2,4,0,1,10,5.85166797146427
1,2,4,0,2,1,6.401200262478992
1,2,4,0,2,2,6.401200262478992
1,2,4,0,2,3,6.401200262478992
1,2,4,0,2,4,6.401200262478992
1,2,4,0,2,5,6.401200262478992
1,2,4,0,2,6,6.401200262478992
1,2,4,0,2,7,6.401200262478992
1,2,4,0,2,8,6.401200262478992
1,2,4,0,2,9,6.401200262478992
1,2,4,0,2,10,6.401200262478992
1,2,8,1,0,1,5.241161262850273
1,2,8,1,0,2,5.241161262850273
1,2,8,1,0,3,5.241161262850273
1,2,8,1,0,4,5.241161262850273
1,2,8,1,0,5,5.241161262850273
1,2,8,1,0,6,5.241161262850273
1,2,8,1,0,7,5.241161262850273
1,2,8,1,0,8,5.241161262850273
1,2,8,1,0,9,5.241161262850273
1,2,8,1,0,10,5.241161262850273
1,2,8,1,1,1,5.85166797146427
1,2,8,1,1,2,5.85166797146427
1,2,8,1,1,3,5.85166797146427
1,2,8,1,1,4,5.85166797146427
1,2,8,1,1,5,5.85166797146427
1,2,8,1,1,6,5.85166797146427
1,2,8,1,1,7,5.85166797146427
1,2,8,1,1,8,5.85166797146427
1,2,8,1,1,9,5.85166797146427
1,2,8,1,1,10,5.85166797146427
1,2,8,1,2,1,6.401200262478992
1,2,8,1,2,2,6.401200262478992
1,2,8,1,2,3,6.401200262478992
1,2,8,1,2,4,6.401200262478992
1,2,8,1,2,5,6.401200262478992
1,2,8,1,2,6,6.401200262478992
1,2,8,1,2,7,6.401200262478992
1,2,8,1,2,8,6.401200262478992
1,2,8,1,2,9,6.401200262478992
1,2,8,1,2,10,6.401200262478992
1,2,8,0,0,1,5.241161262850273
1,2,8,0,0,2,5.241161262850273
1,2,8,0,0,3,5.241161262850273
1,2,8,0,0,4,5.241161262850273
1,2,8,0,0,5,5.241161262850273
1,2,8,0,0,6,5.241161262850273
1,2,8,0,0,7,5.241161262850273
1,2,8,0,0,8,5.241161262850273
1,2,8,0,0,9,5.241161262850273
1,2,8,0,0,10,5.241161262850273
1,2,8,0,1,1,5.85166797146427
1,2,8,0,1,2,5.85166797146427
1,2,8,0,1,3,5.85166797146427
1,2,8,0,1,4,5.85166797146427
1,2,8,0,1,5,5.85166797146427
1,2,8,0,1,6,5.85166797146427
1,2,8,0,1,7,5.85166797146427
1,2,8,0,1,8,5.85166797146427
1,2,8,0,1,9,5.85166797146427
1,2,8,0,1,10,5.85166797146427
1,2,8,0,2,1,6.401200262478992
1,2,8,0,2,2,6.401200262478992
1,2,8,0,2,3,6.401200262478992
1,2,8,0,2,4,6.401200262478992
1,2,8,0,2,5,6.401200262478992
1,2,8,0,2,6,6.401200262478992
1,2,8,0,2,7,6.401200262478992
1,2,8,0,2,8,6.401200262478992
1,2,8,0,2,9,6.401200262478992
1,2,8,0,2,10,6.401200262478992
1,2,16,1,0,1,5.241161262850273
1,2,16,1,0,2,5.241161262850273
1,2,16,1,0,3,5.241161262850273
1,2,16,1,0,4,5.241161262850273
1,2,16,1,0,5,5.241161262850273
1,2,16,1,0,6,5.241161262850273
1,2,16,1,0,7,5.241161262850273
1,2,16,1,0,8,5.241161262850273
1,2,16,1,0,9,5.241161262850273
1,2,16,1,0,10,5.241161262850273
1,2,16,1,1,1,5.85166797146427
1,2,16,1,1,2,5.85166797146427
1,2,16,1,1,3,5.85166797146427
1,2,16,1,1,4,5.85166797146427
1,2,16,1,1,5,5.85166797146427
1,2,16,1,1,6,5.85166797146427
1,2,16,1,1,7,5.85166797146427
1,2,16,1,1,8,5.85166797146427
1,2,16,1,1,9,5.85166797146427
1,2,16,1,1,10,5.85166797146427
1,2,16,1,2,1,6.401200262478992
1,2,16,1,2,2,6.401200262478992
1,2,16,1,2,3,6.401200262478992
1,2,16,1,2,4,6.401200262478992
1,2,16,1,2,5,6.401200262478992
1,2,16,1,2,6,6.401200262478992
1,2,16,1,2,7,6.401200262478992
1,2,16,1,2,8,6.401200262478992
1,2,16,1,2,9,6.401200262478992
1,2,16,1,2,10,6.401200262478992
1,2,16,0,0,1,5.241161262850273
1,2,16,0,0,2,5.241161262850273
1,2,16,0,0,3,5.241161262850273
1,2,16,0,0,4,5.241161262850273
1,2,16,0,0,5,5.241161262850273
1,2,16,0,0,6,5.241161262850273
1,2,16,0,0,7,5.241161262850273
1,2,16,0,0,8,5.241161262850273
1,2,16,0,0,9,5.241161262850273
1,2,16,0,0,10,5.241161262850273
1,2,16,0,1,1,5.85166797146427
1,2,16,0,1,2,5.85166797146427
1,2,16,0,1,3,5.85166797146427
1,2,16,0,1,4,5.85166797146427
1,2,16,0,1,5,5.85166797146427
1,2,16,0,1,6,5.85166797146427
1,2,16,0,1,7,5.85166797146427
1,2,16,0,1,8,5.85166797146427
1,2,16,0,1,9,5.85166797146427
1,2,16,0,1,10,5.85166797146427
1,2,16,0,2,1,6.401200262478992
1,2,16,0,2,2,6.401200262478992
1,2,16,0,2,3,6.401200262478992
1,2,16,0,2,4,6.401200262478992
1,2,16,0,2,5,6.401200262478992
1,2,16,0,2,6,6.401200262478992
1,2,16,0,2,7,6.401200262478992
1,2,16,0,2,8,6.401200262478992
1,2,16,0,2,9,6.401200262478992
1,2,16,0,2,10,6.401200262478992
1,3,1,1,0,1,3.0153524137893974
1,3,1,1,0,2,3.0153524137893974
1,3,1,1,0,3,3.0153524137893974
1,3,1,1,0,4,3.0153524137893974
1,3,1,1,0,5,3.0153524137893974
1,3,1,1,0,6,3.0153524137893974
1,3,1,1,0,7,3.0153524137893974
1,3,1,1,0,8,3.0153524137893974
1,3,1,1,0,9,3.0153524137893974
1,3,1,1,0,10,3.0153524137893974
1,3,1,1,1,1,3.328550580168317
1,3,1,1,1,2,3.328550580168317
1,3,1,1,1,3,3.328550580168317
1,3,1,1,1,4,3.328550580168317
1,3,1,1,1,5,3.328550580168317
1,3,1,1,1,6,3.328550580168317
1,3,1,1,1,7,3.328550580168317
1,3,1,1,1,8,3.328550580168317
1,3,1,1,1,9,3.328550580168317
1,3,1,1,1,10,3.328550580168317
1,3,1,1,2,1,3.9738313721264023
1,3,1,1,2,2,3.9738313721264023
1,3,1,1,2,3,3.9738313721264023
1,3,1,1,2,4,3.9738313721264023
1,3,1,1,2,5,3.9738313721264023
1,3,1,1,2,6,3.9738313721264023
1,3,1,1,2,7,3.9738313721264023
1,3,1,1,2,8,3.9738313721264023
1,3,1,1,2,9,3.9738313721264023
1,3,1,1,2,10,3.9738313721264023
1,3,1,0,0,1,3.0153524137893974
1,3,1,0,0,2,3.0153524137893974
1,3,1,0,0,3,3.0153524137893974
1,3,1,0,0,4,3.0153524137893974
1,3,1,0,0,5,3.0153524137893974
1,3,1,0,0,6,3.0153524137893974
1,3,1,0,0,7,3.0153524137893974
1,3,1,0,0,8,3.0153524137893974
1,3,1,0,0,9,3.0153524137893974
1,3,1,0,0,10,3.0153524137893974
1,3,1,0,1,1,3.328550580168317
1,3,1,0,1,2,3.328550580168317
1,3,1,0,1,3,3.328550580168317
1,3,1,0,1,4,3.328550580168317
1,3,1,0,1,5,3.328550580168317
1,3,1,0,1,6,3.328550580168317
1,3,1,0,1,7,3.328550580168317
1,3,1,0,1,8,3.328550580168317
1,3,1,0,1,9,3.328550580168317
1,3,1,0,1,10,3.328550580168317
1,3,1,0,2,1,3.9738313721264023
1,3,1,0,2,2,3.9738313721264023
1,3,1,0,2,3,3.9738313721264023
1,3,1,0,2,4,3.9738313721264023
1,3,1,0,2,5,3.9738313721264023
1,3,1,0,2,6,3.9738313721264023
1,3,1,0,2,7,3.9738313721264023
1,3,1,0,2,8,3.9738313721264023
1,3,1,0,2,9,3.9738313721264023
1,3,1,0,2,10,3.9738313721264023
1,3,2,1,0,1,5.52789854784191
1,3,2,1,0,2,5.52789854784191
1,3,2,1,0,3,5.52789854784191
1,3,2,1,0,4,5.52789854784191
1,3,2,1,0,5,5.52789854784191
1,3,2,1,0,6,5.52789854784191
1,3,2,1,0,7,5.52789854784191
1,3,2,1,0,8,5.52789854784191
1,3,2,1,0,9,5.52789854784191
1,3,2,1,0,10,5.52789854784191
1,3,2,1,1,1,6.138405256455907
1,3,2,1,1,2,6.138405256455907
1,3,2,1,1,3,6.138405256455907
1,3,2,1,1,4,6.138405256455907
1,3,2,1,1,5,6.138405256455907
1,3,2,1,1,6,6.138405256455907
1,3,2,1,1,7,6.138405256455907
1,3,2,1,1,8,6.138405256455907
1,3,2,1,1,9,6.138405256455907
1,3,2,1,1,10,6.138405256455907
